Date;Day;Planned TSS;Actual TSS
2020-04-08;Wed;55;0
2020-04-09;Thu;0;0
2020-04-10;Fri;50;0
2020-04-11;Sat;70;0
2020-04-12;Sun;60;0
2020-04-13;Mon;40;0
2020-04-14;Tue;70;0
2020-04-15;Wed;60;0
2020-04-16;Thu;0;0
2020-04-17;Fri;50;0
2020-04-18;Sat;70;0
2020-04-19;Sun;85;0
2020-04-20;Mon;0;0
