Date;Day;Planned TSS;Actual TSS
8-4-2020;Wed;55;0
9-4-2020;Thu;0;0
10-4-2020;Fri;50;0
11-4-2020;Sat;70;0
12-4-2020;Sun;60;0
13-4-2020;Mon;40;0
14-4-2020;Tue;70;0
15-4-2020;Wed;60;0
16-4-2020;Thu;0;0
17-4-2020;Fri;50;0
18-4-2020;Sat;70;0
19-4-2020;Sun;85;0
20-4-2020;Mon;0;0
